,Survived,Class,Sex,Age
141,Yes,1st,Male,Adult
142,Yes,1st,Male,Adult
143,Yes,1st,Male,Adult
144,Yes,1st,Male,Adult
145,Yes,1st,Male,Adult
146,Yes,1st,Male,Adult
147,Yes,1st,Male,Adult
148,Yes,1st,Male,Adult
149,Yes,1st,Male,Adult
150,Yes,1st,Male,Adult
151,Yes,1st,Male,Adult
152,Yes,1st,Male,Adult
153,Yes,1st,Male,Adult
154,Yes,1st,Male,Adult
155,Yes,1st,Male,Adult
156,Yes,1st,Male,Adult
157,Yes,1st,Male,Adult
158,Yes,1st,Male,Adult
159,Yes,1st,Male,Adult
160,Yes,1st,Male,Adult
161,Yes,1st,Male,Adult
162,Yes,1st,Male,Adult
163,Yes,1st,Male,Adult
164,Yes,1st,Male,Adult
165,Yes,1st,Male,Adult
166,Yes,1st,Male,Adult
167,Yes,1st,Male,Adult
168,Yes,1st,Male,Adult
169,Yes,1st,Male,Adult
170,Yes,1st,Male,Adult
171,Yes,1st,Male,Adult
172,Yes,1st,Male,Adult
173,Yes,1st,Male,Adult
174,Yes,1st,Male,Adult
175,Yes,1st,Male,Adult
176,Yes,1st,Male,Adult
177,Yes,1st,Male,Adult
178,Yes,1st,Male,Adult
179,Yes,1st,Male,Adult
180,Yes,1st,Male,Adult
181,Yes,1st,Female,Child
182,No,1st,Female,Adult
183,No,1st,Female,Adult
184,No,1st,Female,Adult
185,No,1st,Female,Adult
186,Yes,1st,Female,Adult
187,Yes,1st,Female,Adult
188,Yes,1st,Female,Adult
189,Yes,1st,Female,Adult
190,Yes,1st,Female,Adult
191,Yes,1st,Female,Adult
192,Yes,1st,Female,Adult
193,Yes,1st,Female,Adult
194,Yes,1st,Female,Adult
195,Yes,1st,Female,Adult
196,Yes,1st,Female,Adult
197,Yes,1st,Female,Adult
198,Yes,1st,Female,Adult
199,Yes,1st,Female,Adult
200,Yes,1st,Female,Adult
201,Yes,1st,Female,Adult
202,Yes,1st,Female,Adult
203,Yes,1st,Female,Adult
204,Yes,1st,Female,Adult
205,Yes,1st,Female,Adult
206,Yes,1st,Female,Adult
207,Yes,1st,Female,Adult
208,Yes,1st,Female,Adult
209,Yes,1st,Female,Adult
210,Yes,1st,Female,Adult
211,Yes,1st,Female,Adult
212,Yes,1st,Female,Adult
213,Yes,1st,Female,Adult
214,Yes,1st,Female,Adult
215,Yes,1st,Female,Adult
216,Yes,1st,Female,Adult
217,Yes,1st,Female,Adult
218,Yes,1st,Female,Adult
219,Yes,1st,Female,Adult
220,Yes,1st,Female,Adult
221,Yes,1st,Female,Adult
222,Yes,1st,Female,Adult
223,Yes,1st,Female,Adult
224,Yes,1st,Female,Adult
225,Yes,1st,Female,Adult
226,Yes,1st,Female,Adult
227,Yes,1st,Female,Adult
228,Yes,1st,Female,Adult
229,Yes,1st,Female,Adult
230,Yes,1st,Female,Adult
231,Yes,1st,Female,Adult
232,Yes,1st,Female,Adult
233,Yes,1st,Female,Adult
234,Yes,1st,Female,Adult
235,Yes,1st,Female,Adult
236,Yes,1st,Female,Adult
237,Yes,1st,Female,Adult
238,Yes,1st,Female,Adult
239,Yes,1st,Female,Adult
240,Yes,1st,Female,Adult
241,Yes,1st,Female,Adult
242,Yes,1st,Female,Adult
243,Yes,1st,Female,Adult
244,Yes,1st,Female,Adult
245,Yes,1st,Female,Adult
246,Yes,1st,Female,Adult
247,Yes,1st,Female,Adult
248,Yes,1st,Female,Adult
249,Yes,1st,Female,Adult
250,Yes,1st,Female,Adult
251,Yes,1st,Female,Adult
252,Yes,1st,Female,Adult
253,Yes,1st,Female,Adult
254,Yes,1st,Female,Adult
255,Yes,1st,Female,Adult
256,Yes,1st,Female,Adult
257,Yes,1st,Female,Adult
258,Yes,1st,Female,Adult
259,Yes,1st,Female,Adult
260,Yes,1st,Female,Adult
261,Yes,1st,Female,Adult
262,Yes,1st,Female,Adult
263,Yes,1st,Female,Adult
264,Yes,1st,Female,Adult
265,Yes,1st,Female,Adult
266,Yes,1st,Female,Adult
267,Yes,1st,Female,Adult
268,Yes,1st,Female,Adult
269,Yes,1st,Female,Adult
270,Yes,1st,Female,Adult
271,Yes,1st,Female,Adult
272,Yes,1st,Female,Adult
273,Yes,1st,Female,Adult
274,Yes,1st,Female,Adult
275,Yes,1st,Female,Adult
276,Yes,1st,Female,Adult
277,Yes,1st,Female,Adult
278,Yes,1st,Female,Adult
279,Yes,1st,Female,Adult
280,Yes,1st,Female,Adult
281,Yes,1st,Female,Adult
282,Yes,1st,Female,Adult
283,Yes,1st,Female,Adult
284,Yes,1st,Female,Adult
285,Yes,1st,Female,Adult
286,Yes,1st,Female,Adult
287,Yes,1st,Female,Adult
288,Yes,1st,Female,Adult
289,Yes,1st,Female,Adult
290,Yes,1st,Female,Adult
291,Yes,1st,Female,Adult
292,Yes,1st,Female,Adult
293,Yes,1st,Female,Adult
294,Yes,1st,Female,Adult
295,Yes,1st,Female,Adult
296,Yes,1st,Female,Adult
297,Yes,1st,Female,Adult
298,Yes,1st,Female,Adult
299,Yes,1st,Female,Adult
300,Yes,1st,Female,Adult
301,Yes,1st,Female,Adult
302,Yes,1st,Female,Adult
303,Yes,1st,Female,Adult
304,Yes,1st,Female,Adult
305,Yes,1st,Female,Adult
306,Yes,1st,Female,Adult
307,Yes,1st,Female,Adult
308,Yes,1st,Female,Adult
309,Yes,1st,Female,Adult
310,Yes,1st,Female,Adult
311,Yes,1st,Female,Adult
312,Yes,1st,Female,Adult
313,Yes,1st,Female,Adult
314,Yes,1st,Female,Adult
315,Yes,1st,Female,Adult
316,Yes,1st,Female,Adult
317,Yes,1st,Female,Adult
318,Yes,1st,Female,Adult
319,Yes,1st,Female,Adult
320,Yes,1st,Female,Adult
321,Yes,1st,Female,Adult
322,Yes,1st,Female,Adult
323,Yes,1st,Female,Adult
324,Yes,1st,Female,Adult
325,Yes,1st,Female,Adult
326,Yes,2nd,Male,Child
327,Yes,2nd,Male,Child
328,Yes,2nd,Male,Child
329,Yes,2nd,Male,Child
330,Yes,2nd,Male,Child
331,Yes,2nd,Male,Child
332,Yes,2nd,Male,Child
333,Yes,2nd,Male,Child
334,Yes,2nd,Male,Child
335,Yes,2nd,Male,Child
336,Yes,2nd,Male,Child
337,No,2nd,Male,Adult
338,No,2nd,Male,Adult
339,No,2nd,Male,Adult
340,No,2nd,Male,Adult
341,No,2nd,Male,Adult
342,No,2nd,Male,Adult
343,No,2nd,Male,Adult
344,No,2nd,Male,Adult
345,No,2nd,Male,Adult
346,No,2nd,Male,Adult
347,No,2nd,Male,Adult
348,No,2nd,Male,Adult
349,No,2nd,Male,Adult
350,No,2nd,Male,Adult
351,No,2nd,Male,Adult
352,No,2nd,Male,Adult
353,No,2nd,Male,Adult
354,No,2nd,Male,Adult
355,No,2nd,Male,Adult
356,No,2nd,Male,Adult
357,No,2nd,Male,Adult
358,No,2nd,Male,Adult
359,No,2nd,Male,Adult
360,No,2nd,Male,Adult
361,No,2nd,Male,Adult
362,No,2nd,Male,Adult
363,No,2nd,Male,Adult
364,No,2nd,Male,Adult
365,No,2nd,Male,Adult
366,No,2nd,Male,Adult
367,No,2nd,Male,Adult
368,No,2nd,Male,Adult
369,No,2nd,Male,Adult
370,No,2nd,Male,Adult
371,No,2nd,Male,Adult
372,No,2nd,Male,Adult
373,No,2nd,Male,Adult
374,No,2nd,Male,Adult
375,No,2nd,Male,Adult
376,No,2nd,Male,Adult
377,No,2nd,Male,Adult
378,No,2nd,Male,Adult
379,No,2nd,Male,Adult
380,No,2nd,Male,Adult
381,No,2nd,Male,Adult
382,No,2nd,Male,Adult
383,No,2nd,Male,Adult
384,No,2nd,Male,Adult
385,No,2nd,Male,Adult
386,No,2nd,Male,Adult
387,No,2nd,Male,Adult
388,No,2nd,Male,Adult
389,No,2nd,Male,Adult
390,No,2nd,Male,Adult
391,No,2nd,Male,Adult
392,No,2nd,Male,Adult
393,No,2nd,Male,Adult
394,No,2nd,Male,Adult
395,No,2nd,Male,Adult
396,No,2nd,Male,Adult
397,No,2nd,Male,Adult
398,No,2nd,Male,Adult
399,No,2nd,Male,Adult
400,No,2nd,Male,Adult
401,No,2nd,Male,Adult
402,No,2nd,Male,Adult
403,No,2nd,Male,Adult
404,No,2nd,Male,Adult
405,No,2nd,Male,Adult
406,No,2nd,Male,Adult
407,No,2nd,Male,Adult
408,No,2nd,Male,Adult
409,No,2nd,Male,Adult
410,No,2nd,Male,Adult
411,No,2nd,Male,Adult
412,No,2nd,Male,Adult
413,No,2nd,Male,Adult
414,No,2nd,Male,Adult
415,No,2nd,Male,Adult
416,No,2nd,Male,Adult
417,No,2nd,Male,Adult
418,No,2nd,Male,Adult
419,No,2nd,Male,Adult
420,No,2nd,Male,Adult
421,No,2nd,Male,Adult
422,No,2nd,Male,Adult
423,No,2nd,Male,Adult
424,No,2nd,Male,Adult
425,No,2nd,Male,Adult
426,No,2nd,Male,Adult
427,No,2nd,Male,Adult
428,No,2nd,Male,Adult
429,No,2nd,Male,Adult
430,No,2nd,Male,Adult
431,No,2nd,Male,Adult
432,No,2nd,Male,Adult
433,No,2nd,Male,Adult
434,No,2nd,Male,Adult
435,No,2nd,Male,Adult
436,No,2nd,Male,Adult
437,No,2nd,Male,Adult
438,No,2nd,Male,Adult
439,No,2nd,Male,Adult
440,No,2nd,Male,Adult
441,No,2nd,Male,Adult
442,No,2nd,Male,Adult
443,No,2nd,Male,Adult
444,No,2nd,Male,Adult
445,No,2nd,Male,Adult
446,No,2nd,Male,Adult
447,No,2nd,Male,Adult
448,No,2nd,Male,Adult
449,No,2nd,Male,Adult
450,No,2nd,Male,Adult
451,No,2nd,Male,Adult
452,No,2nd,Male,Adult
453,No,2nd,Male,Adult
454,No,2nd,Male,Adult
455,No,2nd,Male,Adult
456,No,2nd,Male,Adult
457,No,2nd,Male,Adult
458,No,2nd,Male,Adult
459,No,2nd,Male,Adult
460,No,2nd,Male,Adult
461,No,2nd,Male,Adult
462,No,2nd,Male,Adult
463,No,2nd,Male,Adult
464,No,2nd,Male,Adult
465,No,2nd,Male,Adult
466,No,2nd,Male,Adult
467,No,2nd,Male,Adult
468,No,2nd,Male,Adult
469,No,2nd,Male,Adult
470,No,2nd,Male,Adult
471,No,2nd,Male,Adult
472,No,2nd,Male,Adult
473,No,2nd,Male,Adult
474,No,2nd,Male,Adult
475,No,2nd,Male,Adult
476,No,2nd,Male,Adult
477,No,2nd,Male,Adult
478,No,2nd,Male,Adult
479,No,2nd,Male,Adult
480,No,2nd,Male,Adult
481,No,2nd,Male,Adult
482,No,2nd,Male,Adult
483,No,2nd,Male,Adult
484,No,2nd,Male,Adult
485,No,2nd,Male,Adult
486,No,2nd,Male,Adult
487,No,2nd,Male,Adult
488,No,2nd,Male,Adult
489,No,2nd,Male,Adult
490,No,2nd,Male,Adult
491,Yes,2nd,Male,Adult
492,Yes,2nd,Male,Adult
493,Yes,2nd,Male,Adult
494,Yes,2nd,Male,Adult
495,Yes,2nd,Male,Adult
496,Yes,2nd,Male,Adult
497,Yes,2nd,Male,Adult
498,Yes,2nd,Male,Adult
499,Yes,2nd,Male,Adult
500,Yes,2nd,Male,Adult
501,Yes,2nd,Male,Adult
502,Yes,2nd,Male,Adult
503,Yes,2nd,Male,Adult
504,Yes,2nd,Male,Adult
505,Yes,2nd,Female,Child
506,Yes,2nd,Female,Child
507,Yes,2nd,Female,Child
508,Yes,2nd,Female,Child
509,Yes,2nd,Female,Child
510,Yes,2nd,Female,Child
511,Yes,2nd,Female,Child
512,Yes,2nd,Female,Child
513,Yes,2nd,Female,Child
514,Yes,2nd,Female,Child
515,Yes,2nd,Female,Child
516,Yes,2nd,Female,Child
517,Yes,2nd,Female,Child
518,No,2nd,Female,Adult
519,No,2nd,Female,Adult
520,No,2nd,Female,Adult
521,No,2nd,Female,Adult
522,No,2nd,Female,Adult
523,No,2nd,Female,Adult
524,No,2nd,Female,Adult
525,No,2nd,Female,Adult
526,No,2nd,Female,Adult
527,No,2nd,Female,Adult
528,No,2nd,Female,Adult
529,No,2nd,Female,Adult
530,No,2nd,Female,Adult
531,Yes,2nd,Female,Adult
532,Yes,2nd,Female,Adult
533,Yes,2nd,Female,Adult
534,Yes,2nd,Female,Adult
535,Yes,2nd,Female,Adult
536,Yes,2nd,Female,Adult
537,Yes,2nd,Female,Adult
538,Yes,2nd,Female,Adult
539,Yes,2nd,Female,Adult
540,Yes,2nd,Female,Adult
541,Yes,2nd,Female,Adult
542,Yes,2nd,Female,Adult
543,Yes,2nd,Female,Adult
544,Yes,2nd,Female,Adult
545,Yes,2nd,Female,Adult
546,Yes,2nd,Female,Adult
547,Yes,2nd,Female,Adult
548,Yes,2nd,Female,Adult
549,Yes,2nd,Female,Adult
550,Yes,2nd,Female,Adult
551,Yes,2nd,Female,Adult
552,Yes,2nd,Female,Adult
553,Yes,2nd,Female,Adult
554,Yes,2nd,Female,Adult
555,Yes,2nd,Female,Adult
556,Yes,2nd,Female,Adult
557,Yes,2nd,Female,Adult
558,Yes,2nd,Female,Adult
559,Yes,2nd,Female,Adult
560,Yes,2nd,Female,Adult
561,Yes,2nd,Female,Adult
562,Yes,2nd,Female,Adult
563,Yes,2nd,Female,Adult
564,Yes,2nd,Female,Adult
565,Yes,2nd,Female,Adult
566,Yes,2nd,Female,Adult
567,Yes,2nd,Female,Adult
568,Yes,2nd,Female,Adult
569,Yes,2nd,Female,Adult
570,Yes,2nd,Female,Adult
571,Yes,2nd,Female,Adult
572,Yes,2nd,Female,Adult
573,Yes,2nd,Female,Adult
574,Yes,2nd,Female,Adult
575,Yes,2nd,Female,Adult
576,Yes,2nd,Female,Adult
577,Yes,2nd,Female,Adult
578,Yes,2nd,Female,Adult
579,Yes,2nd,Female,Adult
580,Yes,2nd,Female,Adult
581,Yes,2nd,Female,Adult
582,Yes,2nd,Female,Adult
583,Yes,2nd,Female,Adult
584,Yes,2nd,Female,Adult
585,Yes,2nd,Female,Adult
586,Yes,2nd,Female,Adult
587,Yes,2nd,Female,Adult
588,Yes,2nd,Female,Adult
589,Yes,2nd,Female,Adult
590,Yes,2nd,Female,Adult
591,Yes,2nd,Female,Adult
592,Yes,2nd,Female,Adult
593,Yes,2nd,Female,Adult
594,Yes,2nd,Female,Adult
595,Yes,2nd,Female,Adult
596,Yes,2nd,Female,Adult
597,Yes,2nd,Female,Adult
598,Yes,2nd,Female,Adult
599,Yes,2nd,Female,Adult
600,Yes,2nd,Female,Adult
601,Yes,2nd,Female,Adult
602,Yes,2nd,Female,Adult
603,Yes,2nd,Female,Adult
604,Yes,2nd,Female,Adult
605,Yes,2nd,Female,Adult
606,Yes,2nd,Female,Adult
607,Yes,2nd,Female,Adult
608,Yes,2nd,Female,Adult
609,Yes,2nd,Female,Adult
610,Yes,2nd,Female,Adult
611,No,3rd,Male,Child
612,No,3rd,Male,Child
613,No,3rd,Male,Child
614,No,3rd,Male,Child
615,No,3rd,Male,Child
616,No,3rd,Male,Child
617,No,3rd,Male,Child
618,No,3rd,Male,Child
619,No,3rd,Male,Child
620,No,3rd,Male,Child
621,No,3rd,Male,Child
622,No,3rd,Male,Child
623,No,3rd,Male,Child
624,No,3rd,Male,Child
625,No,3rd,Male,Child
626,No,3rd,Male,Child
627,No,3rd,Male,Child
628,No,3rd,Male,Child
629,No,3rd,Male,Child
630,No,3rd,Male,Child
631,No,3rd,Male,Child
632,No,3rd,Male,Child
633,No,3rd,Male,Child
634,No,3rd,Male,Child
635,No,3rd,Male,Child
636,No,3rd,Male,Child
637,No,3rd,Male,Child
638,No,3rd,Male,Child
639,No,3rd,Male,Child
640,No,3rd,Male,Child
641,No,3rd,Male,Child
642,No,3rd,Male,Child
643,No,3rd,Male,Child
644,No,3rd,Male,Child
645,No,3rd,Male,Child
646,Yes,3rd,Male,Child
647,Yes,3rd,Male,Child
648,Yes,3rd,Male,Child
649,Yes,3rd,Male,Child
650,Yes,3rd,Male,Child
651,Yes,3rd,Male,Child
652,Yes,3rd,Male,Child
653,Yes,3rd,Male,Child
654,Yes,3rd,Male,Child
655,Yes,3rd,Male,Child
656,Yes,3rd,Male,Child
657,Yes,3rd,Male,Child
658,Yes,3rd,Male,Child
659,No,3rd,Male,Adult
660,No,3rd,Male,Adult
661,No,3rd,Male,Adult
662,No,3rd,Male,Adult
663,No,3rd,Male,Adult
664,No,3rd,Male,Adult
665,No,3rd,Male,Adult
666,No,3rd,Male,Adult
667,No,3rd,Male,Adult
668,No,3rd,Male,Adult
669,No,3rd,Male,Adult
670,No,3rd,Male,Adult
671,No,3rd,Male,Adult
672,No,3rd,Male,Adult
673,No,3rd,Male,Adult
674,No,3rd,Male,Adult
675,No,3rd,Male,Adult
676,No,3rd,Male,Adult
677,No,3rd,Male,Adult
678,No,3rd,Male,Adult
679,No,3rd,Male,Adult
680,No,3rd,Male,Adult
681,No,3rd,Male,Adult
682,No,3rd,Male,Adult
683,No,3rd,Male,Adult
684,No,3rd,Male,Adult
685,No,3rd,Male,Adult
686,No,3rd,Male,Adult
687,No,3rd,Male,Adult
688,No,3rd,Male,Adult
689,No,3rd,Male,Adult
690,No,3rd,Male,Adult
691,No,3rd,Male,Adult
692,No,3rd,Male,Adult
693,No,3rd,Male,Adult
694,No,3rd,Male,Adult
695,No,3rd,Male,Adult
696,No,3rd,Male,Adult
697,No,3rd,Male,Adult
698,No,3rd,Male,Adult
699,No,3rd,Male,Adult
700,No,3rd,Male,Adult
701,No,3rd,Male,Adult
702,No,3rd,Male,Adult
703,No,3rd,Male,Adult
704,No,3rd,Male,Adult
705,No,3rd,Male,Adult
706,No,3rd,Male,Adult
707,No,3rd,Male,Adult
708,No,3rd,Male,Adult
709,No,3rd,Male,Adult
710,No,3rd,Male,Adult
711,No,3rd,Male,Adult
712,No,3rd,Male,Adult
713,No,3rd,Male,Adult
714,No,3rd,Male,Adult
715,No,3rd,Male,Adult
716,No,3rd,Male,Adult
717,No,3rd,Male,Adult
718,No,3rd,Male,Adult
719,No,3rd,Male,Adult
720,No,3rd,Male,Adult
721,No,3rd,Male,Adult
722,No,3rd,Male,Adult
723,No,3rd,Male,Adult
724,No,3rd,Male,Adult
725,No,3rd,Male,Adult
726,No,3rd,Male,Adult
727,No,3rd,Male,Adult
728,No,3rd,Male,Adult
729,No,3rd,Male,Adult
730,No,3rd,Male,Adult
731,No,3rd,Male,Adult
732,No,3rd,Male,Adult
733,No,3rd,Male,Adult
734,No,3rd,Male,Adult
735,No,3rd,Male,Adult
736,No,3rd,Male,Adult
737,No,3rd,Male,Adult
738,No,3rd,Male,Adult
739,No,3rd,Male,Adult
740,No,3rd,Male,Adult
741,No,3rd,Male,Adult
742,No,3rd,Male,Adult
743,No,3rd,Male,Adult
744,No,3rd,Male,Adult
745,No,3rd,Male,Adult
746,No,3rd,Male,Adult
747,No,3rd,Male,Adult
748,No,3rd,Male,Adult
749,No,3rd,Male,Adult
750,No,3rd,Male,Adult
751,No,3rd,Male,Adult
752,No,3rd,Male,Adult
753,No,3rd,Male,Adult
754,No,3rd,Male,Adult
755,No,3rd,Male,Adult
756,No,3rd,Male,Adult
757,No,3rd,Male,Adult
758,No,3rd,Male,Adult
759,No,3rd,Male,Adult
760,No,3rd,Male,Adult
761,No,3rd,Male,Adult
762,No,3rd,Male,Adult
763,No,3rd,Male,Adult
764,No,3rd,Male,Adult
765,No,3rd,Male,Adult
766,No,3rd,Male,Adult
767,No,3rd,Male,Adult
768,No,3rd,Male,Adult
769,No,3rd,Male,Adult
770,No,3rd,Male,Adult
771,No,3rd,Male,Adult
772,No,3rd,Male,Adult
773,No,3rd,Male,Adult
774,No,3rd,Male,Adult
775,No,3rd,Male,Adult
776,No,3rd,Male,Adult
777,No,3rd,Male,Adult
778,No,3rd,Male,Adult
779,No,3rd,Male,Adult
780,No,3rd,Male,Adult
781,No,3rd,Male,Adult
782,No,3rd,Male,Adult
783,No,3rd,Male,Adult
784,No,3rd,Male,Adult
785,No,3rd,Male,Adult
786,No,3rd,Male,Adult
787,No,3rd,Male,Adult
788,No,3rd,Male,Adult
789,No,3rd,Male,Adult
790,No,3rd,Male,Adult
791,No,3rd,Male,Adult
792,No,3rd,Male,Adult
793,No,3rd,Male,Adult
794,No,3rd,Male,Adult
795,No,3rd,Male,Adult
796,No,3rd,Male,Adult
797,No,3rd,Male,Adult
798,No,3rd,Male,Adult
799,No,3rd,Male,Adult
800,No,3rd,Male,Adult
801,No,3rd,Male,Adult
802,No,3rd,Male,Adult
803,No,3rd,Male,Adult
804,No,3rd,Male,Adult
805,No,3rd,Male,Adult
806,No,3rd,Male,Adult
807,No,3rd,Male,Adult
808,No,3rd,Male,Adult
809,No,3rd,Male,Adult
810,No,3rd,Male,Adult
811,No,3rd,Male,Adult
812,No,3rd,Male,Adult
813,No,3rd,Male,Adult
814,No,3rd,Male,Adult
815,No,3rd,Male,Adult
816,No,3rd,Male,Adult
817,No,3rd,Male,Adult
818,No,3rd,Male,Adult
819,No,3rd,Male,Adult
820,No,3rd,Male,Adult
821,No,3rd,Male,Adult
822,No,3rd,Male,Adult
823,No,3rd,Male,Adult
824,No,3rd,Male,Adult
825,No,3rd,Male,Adult
826,No,3rd,Male,Adult
827,No,3rd,Male,Adult
828,No,3rd,Male,Adult
829,No,3rd,Male,Adult
830,No,3rd,Male,Adult
831,No,3rd,Male,Adult
832,No,3rd,Male,Adult
833,No,3rd,Male,Adult
834,No,3rd,Male,Adult
835,No,3rd,Male,Adult
836,No,3rd,Male,Adult
837,No,3rd,Male,Adult
838,No,3rd,Male,Adult
839,No,3rd,Male,Adult
840,No,3rd,Male,Adult
841,No,3rd,Male,Adult
842,No,3rd,Male,Adult
843,No,3rd,Male,Adult
844,No,3rd,Male,Adult
845,No,3rd,Male,Adult
846,No,3rd,Male,Adult
847,No,3rd,Male,Adult
848,No,3rd,Male,Adult
849,No,3rd,Male,Adult
850,No,3rd,Male,Adult
851,No,3rd,Male,Adult
852,No,3rd,Male,Adult
853,No,3rd,Male,Adult
854,No,3rd,Male,Adult
855,No,3rd,Male,Adult
856,No,3rd,Male,Adult
857,No,3rd,Male,Adult
858,No,3rd,Male,Adult
859,No,3rd,Male,Adult
860,No,3rd,Male,Adult
861,No,3rd,Male,Adult
862,No,3rd,Male,Adult
863,No,3rd,Male,Adult
864,No,3rd,Male,Adult
865,No,3rd,Male,Adult
866,No,3rd,Male,Adult
867,No,3rd,Male,Adult
868,No,3rd,Male,Adult
869,No,3rd,Male,Adult
870,No,3rd,Male,Adult
871,No,3rd,Male,Adult
872,No,3rd,Male,Adult
873,No,3rd,Male,Adult
874,No,3rd,Male,Adult
875,No,3rd,Male,Adult
876,No,3rd,Male,Adult
877,No,3rd,Male,Adult
878,No,3rd,Male,Adult
879,No,3rd,Male,Adult
880,No,3rd,Male,Adult
881,No,3rd,Male,Adult
882,No,3rd,Male,Adult
883,No,3rd,Male,Adult
884,No,3rd,Male,Adult
885,No,3rd,Male,Adult
886,No,3rd,Male,Adult
887,No,3rd,Male,Adult
888,No,3rd,Male,Adult
889,No,3rd,Male,Adult
890,No,3rd,Male,Adult
891,No,3rd,Male,Adult
892,No,3rd,Male,Adult
893,No,3rd,Male,Adult
894,No,3rd,Male,Adult
895,No,3rd,Male,Adult
896,No,3rd,Male,Adult
897,No,3rd,Male,Adult
898,No,3rd,Male,Adult
899,No,3rd,Male,Adult
900,No,3rd,Male,Adult
901,No,3rd,Male,Adult
902,No,3rd,Male,Adult
903,No,3rd,Male,Adult
904,No,3rd,Male,Adult
905,No,3rd,Male,Adult
906,No,3rd,Male,Adult
907,No,3rd,Male,Adult
908,No,3rd,Male,Adult
909,No,3rd,Male,Adult
910,No,3rd,Male,Adult
911,No,3rd,Male,Adult
912,No,3rd,Male,Adult
913,No,3rd,Male,Adult
